37   autre côté                    ot ko-te                      de l' autre côté parce
42   autre côté                    ot ko-te                      de l' autre côté !
73   descendre de                  de-s@d d2                     veux pas descendre de la
132  rentre là                     R@t la                        regarde il rentre là .
147  rentre pas                    R@t pa                        vois ça rentre pas là
148  rentre là                     R@t la                        oui ça rentre là .
177  rentre mieux                  R@t mj2                       non ça rentre mieux d(e) ce
194  être là                       Et la                         droit d' être là !
212  prendre la                    pR@d la                       tu vas prendre la poupée ?
253  rentres toi                   R@t twa                       tu rentres toi là d(e)dans ?
310  mettre le                     mEt l2                        on va mettre le toit
336  être dessous                  Et d°-su                      il doit être dessous !
372  être chez                     Et Se                         ils doivent être chez papi .
564  montres comment               m§t ko-m@                     tu me montres comment ça marche
880  être pas                      Et pa                         faut p(eu)t être pas trop mett(r)e
924  mettre devant                 mEt d°-v@                     vas l(e) mettre devant ?
1108 stable ça                     stab sa                       pas très stable ça #
2626 mettre le                     mEt l2                        il faut mettre le pied d'
2709 autre livre                   ot livR                       veux un autre livre ?
2728 être debout                   Et d°-bu                      c' est être debout dans
2751 autre jeu                     ot Z2                         trouver un autre jeu ?
2754 autre chose                   ot Soz                        on trouve autre chose .
2772 mettre dans                   mEt d@                        on va mettre dans l(e) sac
2848 rentre ça                     R@t sa                        que ça rentre ça ?
2858 table là                      tab la                        sous la table là bas
2867 autre sens                    ot s@s                        dans l' autre sens si
2926 mettre de                     mEt d2                        on va mettre de l'
2977 mettre de                     mEt d2                        m' en mettre de partout
3009 puzzles de                    p9z d2                        rempli des puzzles de Anaïs
3199 arbre le                      aRb l2                        derrière l' arbre le zèbre
3262 prendre ce                    pR@d s2                       vas prendre ce que tu veux
3343 mettre sur                    mEt syR                       tu veux mettre sur les
3386 autre là                      ot la                         as un autre là ?
3394 mettre sur                    mEt syR                       va l(e) mettre sur la
3460 rentre ce                     R@t s2                        fait qui rentre ce pied
3541 autre livre                   ot livR                       un &li autre livre ?
3633 livre dis                     liv di                        bien ce livre dis don(c)
3639 lièvres là                    ljEv la                       est des lièvres là .
3669 mettre la                     mEt la                        quand même mettre la caméra
3705 quatre pattes                 kat pat                       fais à quatre pattes ?
3749 montres la                    m§t la                        tu me montres la chouette ?
3793 mettre là                     mEt la                        va l(e) mettre là .
3846 montres le                    m§t l2                        tu montres le livre ?
3993 ouvres ce                     uv s2                         comment tu ouvres ce panier
4446 mettre sur                    mEt syR                       veux l(e) mettre sur le
4455 mettre ça                     mEt sa                        j(e) vais mettre ça là parce
4469 mettre tout                   mEt tut                       on va mettre tout en hauteur
4512 mettre dedans                 mEt d°-d@                     veux les mettre dedans !
4524 mettre ce                     mEt s2                        voulu le mettre ce truc
4628 ventre regarde                v@t R°-gaRd                   sac à ventre regarde .
4637 mettre sur                    mEt syR                       veux le mettre sur le
4644 montres ton                   m§t t§                        tu me montres ton dos
4664 autre bout                    ot bu                         mis l' autre bout .
4706 mettre les                    mEt le                        vas vouloir mettre les doigts
4752 mettre là                     mEt la                        veux t(e) mettre là ?
4757 rentres là                    R@t la                        tu rentres là ?
4789 montre comment                m§t ko-m@                     j(e) te montre comment ça
4815 reprendre la                  R°-pR@d la                    faudra reprendre la caméra hein .
4830 autre chose                   ot Soz                        tu prenais autre chose Minou
4860 mettre sur                    mEt syR                       veux le mettre sur l(e)
4907 autre coté                    ot ko-te                      de l' autre coté oui
4913 autre côté                    ot ko-te                      de l' autre côté tourne
4939 mettre les                    mEt le                        on va mettre les deux
4942 peut-être des                 p2-tEt de                     t(u) as peut-être des bras
4955 mettre voilà                  mEt vwa-la                    te l(e) mettre voilà !
5000 contre c'                     k§t s'                        par contre c' est très ,
5186 mettre dans                   mEt d@                        vas les mettre dans la
5435 pantoufles Minette            p@-tuf mi-nEt                 mis tes pantoufles Minette ?
5440 mettre la                     mEt la                        on va mettre la robe
5519 mettre droit                  mEt dRwa                      va l(e) mettre droit .
5586 reprendre tes                 R°-pR@d te                    tu veux reprendre tes doudous ?
5626 mettre celui                  mEt sl8i                      on va mettre celui d(e)
5633 mettre dans                   mEt d@                        vas le mettre dans l(e)
5640 autre bras                    ot bRa                        mets l' autre bras ?
5738 prendre la                    pR@d la                       tu va prendre la poupée
5746 mettre dedans                 mEt d°-d@                     va la mettre dedans .
5887 montre le                     m§t l2                        montre le moi .
5897 livre des                     liv dez                       où ton livre des animaux
5954 pantoufles des                p@-tuf de                     est les pantoufles des garçons
5955 pantoufles des                p@-tuf de                     est les pantoufles des filles
5964 mettre les                    mEt le                        est pour mettre les cadeaux
6022 pantoufles rouges             p@-tuf RuZ                    est des pantoufles rouges .
6024 mettre les                    mEt le                        pour mettre les cadeaux .
6047 prendre c(e)                  pR@d s                        va l(e) prendre c(e) que
6061 mettre dans                   mEt d@                        vas y mettre dans la
6105 mettre sous                   mEt su                        d(e) le mettre sous l(e)
6148 être toute                    Et tut                        tu vas être toute saoule .
6179 ouvre la                      uv la                         ouvre la bouche .
6208 remettre dessous              R°-mEt d°-su                  faut le remettre dessous .
6238 autres bouts                  ot bu                         les autres bouts du puzzle ?
6325 autres tu                     ot ty                         et les autres tu me les
6372 autre chose                   ot Soz                        allez trouves autre chose .
6398 autre livre                   ot livR                       où l' autre livre ?
6404 autre c'                      ot s'                         placard l' autre c' était
6406 mettre dans                   mEt d@                        tu vas mettre dans le tiroir
6407 livre que                     liv k2                        le livre que t(u) as mis
6409 livre là                      liv la                        le livre là bas .
6416 mettre là                     mEt la                        viens le mettre là Ninine .
6454 prendre dans                  pR@d d@                       tous les prendre dans la
6454 être sûre                     Et syR                        main pour être sûre qu'
6565 autre chose                   ot Soz                        on trouve autre chose .
6765 sucre non                     syk n§                        et l(e) sucre non plus .
6811 montre moi                    m§t mwa                       où montre moi ?
6820 être grande                   Et gR@d                       commence à être grande .
6853 lettre du                     lEt dy                        la lettre du père noël là
6854 lettre du                     lEt dy                        la la lettre du père
6867 être grande                   Et gR@d                       tu vas être grande comme
7055 mettre sur                    mEt syR                       va l(e) mettre sur l(e)
7066 mettre ça                     mEt sa                        vais t(e) mettre ça derrière
7080 mettre dans                   mEt d@                        du l(e) mettre dans l(e)
7095 boucle d'                     buk d                         encore d(e) boucle d' oreilles
7132 montre moi                    m§t mwa                       as cogné montre moi ,
7132 montre moi                    m§t mwa                       moi , montre moi .
7171 être bon                      Et b§                         ça doit être bon .
7184 remettre le                   R°-mEt l2                     on va remettre le p(e)tit
7192 table d'                      tab d                         sur la table d' accord ?
7263 chèvre comment                SEv ko-m@                     là la chèvre comment elle
7285 pauvre chat                   pov Sa                        ah le pauvre chat il
7326 perdre les                    pERd lez                      vient d(e) perdre les oreilles
7376 mettre dans                   mEt d@                        dur de mettre dans la
7377 montre moi                    m§t mwa                       montre moi ?
7445 mettre là                     mEt la                        va l(e) mettre là bas
7460 être survitaminé              Et syR-vi-ta-mi-ne            tu vas être survitaminé .
7529 mettre les                    mEt le                        , faut mettre les livres
7529 livres là                     liv la                        mettre les livres là .
7603 être mangée                   Et m@-Ze                      peur d' être mangée .
7623 livre des                     liv de                        le livre des princesses ?
7811 ouvre le                      uv l2                         bah ouvre le alors .
7879 autres derrière               ot dE-RjER                    et les autres derrière ?
8202 rentre pas                    R@t pa                        moi j(e) rentre pas dans
8203 mettre dans                   mEt d@                        (il) faut mettre dans l(e)
8301 autre côté                    ot ko-te                      d(e) l' autre côté .
8305 autre côté                    ot ko-te                      d(e) l' autre côté .
8335 mettre de                     mEt d2                        on va mettre de la
8546 remettre le                   R°-mEt l2                     on va remettre le nounours Anaïs
8593 livre des                     liv de                        le livre des jouets !
8768 autre livre                   ot livR                       prends un autre livre ?
8769 autre livre                   ot livR                       prendre un autre livre là
8769 livre là                      liv la                        un autre livre là bas
8781 mettre le                     mEt l2                        on va mettre le nounours là
8803 livre de                      liv d2                        lire le livre de la
8898 montre le                     m§t l2                        qui montre le bébé simba .
9035 autres lettres                ot lEtR                       donnes les autres lettres ?
9094 mettre les                    mEt le                        va les mettre les di
9132 ouvre la                      uv la                         ouvre la bouche !
9157 mettre les                    mEt lez                       on va mettre les autres
9165 mettre la                     mEt la                        on va mettre la remorque
9168 mettre le                     mEt l2                        i(l) faut mettre le mouton
9190 autre pile                    ot pil                        a d' autre pile .
9209 mettre dessus                 mEt d°-sy                     va l(e) mettre dessus .
9212 mettre là                     mEt la                        est pour mettre là regarde
9237 autre sens                    ot s@s                        dans l' autre sens Anaïs
9246 mettre le                     mEt l2                        qu' à mettre le cheval
9251 mettre comme                  mEt kOm                       va l(e) mettre comme ça
9257 autres piles                  ot pil                        a d' autres piles .
9269 mettre le                     mEt l2                        on va mettre le mouton
9271 autre sens                    ot s@s                        dans l' autre sens ,
9313 mettre là                     mEt la                        va l(e) mettre là .
9326 siffle plus                   sif ply                       qu' i(l) siffle plus lui
9361 mettre là                     mEt la                        veux l(e) mettre là ?
9421 mettre dans                   mEt d@                        faut l(e) mettre dans la poubelle
9426 ouvre le                      uv l2                         ouvre le bec toi .
9428 mettre dans                   mEt d@                        vas le mettre dans la
9459 mordre c'                     mORd s'                       qui faut mordre c' est
9460 autre de                      ot d2                         est l' autre de doudou
9473 prendre le                    pR@d l2                       va prendre le sac Anaïs .
9484 mettre ton                    mEt t§                        va mettre ton sac Anaïs .
9488 prendre le                    pR@d l2                       va le prendre le sac puis
9510 livre des                     liv dez                       le livre des animaux .
9706 mettre dessous                mEt d°-su                     dû les mettre dessous .
9722 être là                       Et la                         i(l) doit être là bas l'
9722 autre livre                   ot livR                       bas l' autre livre .
9795 livre dis                     liv di                        tout l(e) livre dis don(c)
9808 ensemble tu                   @-s@b ty                      i(l) mange ensemble tu vois
9855 autre sens                    ot s@s                        dans l' autre sens le
9868 autre non                     ot n§                         et l' autre non .
9897 montres ton                   m§t t§                        tu m(e) montres ton pied
9932 mettre là                     mEt la                        va l(e) mettre là bas
10154autre non                     ot n§                         de l' autre non ?
10306livre vers                    liv vER                       ramener le livre vers toi
10347autre sens                    ot s@s                        dans l' autre sens .
10348autre côté                    ot ko-te                      d(e) l' autre côté .
10357mettre là                     mEt la                        vais en mettre là .
10374triangle tout                 tRi-j@g tu                    le triangle tout noir !
10468ouvre la                      uv la                         ouvre la bouche ?
10573autre bras                    ot bRa                        allez un autre bras , un
10589autre main                    ot m5                         mett(r)e une autre main ,
10686comprendre comment            k§-pR@d ko-m@                 compliqué à comprendre comment marche
10795ouvre la                      uv la                         ouvre la boite et mets tout
11363montre moi                    m§t mwa                       montre moi c(e) que tu as
11551ouvre c(e)                    uv s                          ça s' ouvre c(e) truc
11774autre pied                    ot pje                        l' autre pied .
11983autre côté                    ot ko-te                      met l' autre côté puis
11983mettre le                     mEt l2                        on va mettre le p(e)tit
12002zèbre là                      zEb la                        et le zèbre là vas
12046siffle pas                    sif pa                        non i(l) siffle pas le
12104prendre l'                    pR@d l                        j(e) vais prendre l' autre pâte
12104autre pâte                    ot pat                        prendre l' autre pâte .
12110mettre ça                     mEt sa                        va juste mettre ça comme
12142mettre là                     mEt la                        faut le mettre là ?
12176autre qui                     ot ki                         de l' autre qui a
12204ouvre la                      uv la                         ouvre la bouche .
12205ouvre la                      uv la                         ouvre la bouche .
12209mettre des                    mEt de                        faut mettre des plus gros bouts
12224remettre dedans               R°-mEt d°-d@                  faut l(e) remettre dedans ?
12233pénible ce                    pe-nib s2                     il est pénible ce ch(e)veu
12294être dur                      Et dyR                        ça va être dur !
12370mettre dessus                 mEt d°-sy                     j(e) peux mettre dessus ?
12373mettre dedans                 mEt d°-d@                     on va mettre dedans ?
12409être bon                      Et b§                         ça devrait être bon .
12441remettre son                  R°-mEt s§                     faut lui remettre son chapeau
12470mettre le                     mEt l2                        on va mettre le collier à
12529mettre la                     mEt la                        viens mettre la culotte !
12540prendre la                    pR@d la                       on va prendre la vaisselle
12569autre là                      ot la                         moi l' autre là bas
12600mettre tes                    mEt te                        viens mettre tes pieds là .
12669couvercle mais                ku-vERk mE                    est le couvercle mais j'sais
12670peut-être là                  p2-tEt la                     peut-être là ?
12672couvercle ça                  ku-vERk sa                    pas un couvercle ça .
12760être par                      Et paR                        i(l) doit être par là l(e)
12765être là                       Et la                         même plus être là ,
12827rentre pas                    R@t pa                        vois ça rentre pas .
13025rentre d'                     R@t d                         maman elle rentre d' abord
13111livre de                      liv d2                        est l(e) livre de silkA
13724puzzle du                     p9z dy                        donne le puzzle du train
13798être le                       Et l2                         ça doit être le rouge
14243prendre le                    pR@d l2                       elle va prendre le bain
14578montre moi                    m§t mwa                       montre moi le rouge .
14633mettre quand                  mEt k@                        de les mettre quand même
14641descendre le                  de-s@d l2                     on fait descendre le ,
14824montre moi                    m§t mwa                       montre moi deux Anaïs .
14836être plus                     Et ply                        ça doit être plus facile
14845quatre cinq                   kat s5k                       deux trois quatre cinq six
14885prendre tous                  pR@d tu                       tu vas prendre tous les sens
14992autre jaune                   ot Zon                        est un autre jaune .
15015autre carte                   ot kaRt                       retourne une autre carte ,
15030montre moi                    m§t mwa                       ben montre moi .
15088chiffre derrière              Sif dE-RjER                   manque un chiffre derrière pour
15153mettre le                     mEt l2                        on va mettre le toboggan ?
15168autre côté                    ot ko-te                      de l' autre côté .
15225autre côté                    ot ko-te                      de l' autre côté .
15279autre côté                    ot ko-te                      de l' autre côté .
15306souffles dessus               suf d°-sy                     tu me souffles dessus .
15314tendre les                    t@d le                        tendre les pieds , plier ,
15507mettre les                    mEt le                        va lui mettre les mains
15512peut-être tu                  p2-tEt ty                     ou peut-être tu prends l(e) vélo
15568mettre le                     mEt l2                        pour mettre le ch(e)val dans la
15665table bleue                   tab bl2                       la table bleue , les chaussures
15666table là                      tab la                        , la table là ,
15685autre vélo                    ot ve-lo                      l' autre vélo Anaïs , le
15687mettre les                    mEt le                        est pour mettre les pieds
15692mettre l'                     mEt l                         on va mettre l' autre pied
15692autre pied                    ot pje                        mettre l' autre pied .
15707être bien                     Et bj5                        (doit) pas être bien loin !
15708être très                     Et tRE                        doit pas être très loin
15720être lui                      Et l8i                        va p(eu)t être lui couper
15830remettre le                   R°-mEt l2                     tu veux remettre le disque ?
15936table c'                      tab s'                        que la table c' est
16012mettre le                     mEt l2                        faut mettre le bouton il est
16064autre vers                    ot vER                        et l' autre vers la voiture
16219livre dans                    liv d@                        le livre dans le lit oui
16641table mais                    tab mE                        à une table mais c'
17171boucle dans                   buk d@                        a ma boucle dans l(e)
17174boucle là                     buk la                        a la boucle là aussi
17264table par                     tab paR                       pousser la table par là
17314montre moi                    m§t mwa                       montre moi où !
17615autre là                      ot la                         l' autre là bas .
18005ensemble regarde              @-s@b R°-gaRd                 ensemble regarde !
18140livres que                    liv k2                        quoi ces livres que tu
18519chambre tes                   S@b te                        dans ta chambre tes tourn(es)
18779peut-être qu'                 p2-tEt k                      peut-être qu' i(l) y en a
18864livre de                      liv d2                        le livre de tous les bébés
18866livre des                     liv de                        le livre des bébés .
19043mettre trop                   mEt tRo                       a dû mettre trop d(e)
19265suivre le                     s8iv l2                       pas pouvoir suivre le rond
19266être compliqué                Et k§-pli-ke                  ça va être compliqué .
19267autres ciseaux                ot si-zo                      trouve d' autres ciseaux c'
19330notre truc                    nOt tRyk                      est où notre truc ,
19366autre pareil                  ot pa-REj                     et l' autre pareil .
19387mettre du                     mEt dy                        on va mettre du scotch dessus
19388mettre du                     mEt dy                        Ninine faut mettre du scotch
19445mettre dedans                 mEt d°-d@                     est pour mettre dedans ?
19491peut-être mis                 p2-tEt mi                     l' ai peut-être mis trop
19535mettre du                     mEt dy                        on va mettre du .
19545mettre du                     mEt dy                        on va mettre du scotch .
19791mettre le                     mEt l2                        veux le mettre le tablier
19817autre sens                    ot s@s                        dans l' autre sens .
19833autre bleu                    ot bl2                        prends l' autre bleu Anaïs .
19835autre bleu                    ot bl2                        prend l' autre bleu .
19849mettre là                     mEt la                        de l(e) mettre là .
19882autres qui                    ot ki                         mets les autres qui manquent
19928être devant                   Et d°-v@                      , d' être devant les
19937mettre de                     mEt d2                        va l(e) mettre de l'
19937autre côté                    ot ko-te                      de l' autre côté .
19956montre moi                    m§t mwa                       montre moi !
20019remettre tout                 R°-mEt tu                     te l(e) remettre tout le
20032prendre là                    pR@d la                       qu(e) faut prendre là .
20034reprendre tirer               R°-pR@d ti-Re                 reprendre tirer un p(e)tit peu ,
20034reprendre tirer               R°-pR@d ti-Re                 peu , reprendre tirer un
20034reprendre tirer               R°-pR@d ti-Re                 peu , reprendre tirer un
20157prendre comme                 pR@d kOm                      alors faut prendre comme ça .
20205ouvres la                     uv la                         tu lui ouvres la porte ?
20318mettre la                     mEt la                        pas lui mettre la casquette
20429peut-être pas                 p2-tEt pa                     l' as peut-être pas tordue
20436entre les                     @t le                         faut appuyer entre les pattes
20464entre la                      @t la                         des guilis entre la patte
20485être la                       Et la                         doit pas être la bonne
20609mettre la                     mEt la                        faut mettre la main dans l(e)
20613entre l(e)                    @t l                          t' asseoir entre l(e) lap
20650montre moi                    m§t mwa                       montre moi du vert !
20679mettre là                     mEt la                        dit faut mettre là ,
20704mettre dans                   mEt d@                        on va mettre dans c(e)
20769ouvre le                      uv l2                         il lui ouvre le ventre !
20770ventre qu'                    v@t k                         dans le ventre qu' est-ce
20772ventre le                     v@t l2                        dans son ventre le méchant
20780ventre du                     v@t dy                        intérieur du ventre du grand
20803livre par                     liv paR                       , le livre par dessus
20855quatre six                    kat sis                       deux quatre six ?
20997montre moi                    m§t mwa                       mon montre moi !
20998montre moi                    m§t mwa                       montre moi !
21004tigre ça                      tig sa                        pas un tigre ça .
21049ventre de                     v@t d2                        dans le ventre de sa maman
21068ventre de                     v@t d2                        dans le ventre de la
21207maître de                     mEt d2                        lui le maître de cérémonie
21208être marqué                   Et maR-ke                     ça doit être marqué par là
21290zèbre c'                      zEb s'                        façon un zèbre c' est
21315autre sens                    ot s@s                        dans l' autre sens !
21782livre la                      liv la                        gardé le livre la maîtresse
21843être les                      Et le                         doit pas être les mêmes
21925contre j'sais                 k§t SE                        par contre j'sais pas où tu
22328simples les                   s5p le                        sont plus simples les aut(r)es
22341triangle jaune                tRi-j@g Zon                   où s(e) triangle jaune ?
22427triangle rouge                tRi-j@g RuZ                   le triangle rouge .
22581triangle là                   tRi-j@g la                    a l(e) triangle là haut
22671montre pas                    m§t pa                        j(e) te montre pas ?
23181reprendre de                  R°-pR@d d2                    faudrait reprendre de la colle alors
23198terrible cette                tE-Rib sEt                    est pas terrible cette colle
23484livre de                      liv d2                        un livre de quoi ?
23502livre mais                    liv mE                        sur ton livre mais tu
23513ventre là                     v@t la                        à ton ventre là ?
23533autres jouets                 ot ZwE                        veux les autres jouets pour
23600autre joue                    ot Zu                         et l' autre joue ?
23606mettre sous                   mEt su                        va l(e) mettre sous l(e)
23607prendre la                    pR@d la                       pour prendre la température .
23633rentre là                     R@t la                        non ça rentre là .
23681rentre là                     R@t la                        l(e) monde rentre là ?
23707rentre plus                   R@t ply                       ça rentre plus là .
23722autre sens                    ot s@s                        dans l' autre sens # .
23738mettre dans                   mEt d@                        va l(e) mettre dans la poubelle
23760propre ton                    pROp t§                       il est propre ton nez ?
23781chambre viens                 S@b vj5                       dans ta chambre viens .
23789boucles d'                    buk d                         tiens tes boucles d' oreilles .
23805autre chose                   ot Soz                        b(e)soin d' autre chose ?
23840boucle d'                     buk d                         était une boucle d' oreille
23991poivre dans                   pwav d@                       le poivre dans le thé c'
24000couvercle c'                  ku-vERk s'                    là le couvercle c' est
24095autre dedans                  ot d°-d@                      a d' autre dedans ?
24165ouvre le                      uv l2                         ouvre le bec !
24172autre côté                    ot ko-te                      de l' autre côté tu pinces
24210mettre dans                   mEt d@                        faut mettre dans mon assiette .
24327mettre là                     mEt la                        va l(e) mettre là .
24384autre j'sais                  ot SE                         mais l' autre j'sais pas
24419autre pour                    ot puR                        faire un autre pour Géraldine
24442mettre ça                     mEt sa                        tu peux mettre ça dans
24457livres qu'                    liv k                         chercher les livres qu' on
24487ouvre la                      uv la                         on ouvre la porte oh !
24497ouvres la                     uv la                         Chloé t' ouvres la prochaine
24517prendre ton                   pR@d t§                       tu vas prendre ton bain
24521autre toi                     ot twa                        ouvert l' autre toi ?
24547ouvre la                      uv la                         ouvre la porte qu' on voit
24568ouvre la                      uv la                         allez on ouvre la porte .
24593ouvre le                      uv l2                         alors ouvre le volet ?
24607ouvre la                      uv la                         allez ouvre la porte ?
24644être chez                     Et Se                         est p(eu)t être chez papi
24647chambre de                    S@b d2                        dans la chambre de Chloé
24658boucle d'                     buk d                         c' est boucle d' or
24659boucle d'                     buk d                         avec Raph boucle d' or
24706mettre la                     mEt la                        on va mettre la pâte à
24740mettre sur                    mEt syR                       de tout mettre sur l(e)
24760mettre les                    mEt le                        attends faut mettre les barres
24776mettre ta                     mEt ta                        tiens viens mettre ta pâte
24787prendre merci                 pR@d mER-si                   tu peux prendre merci .
24789quatre pattes                 kat pat                       pas à quatre pattes .
24844être pareil                   Et pa-REj                     doit pas être pareil c(e)lui
24862autre stylo                   ot sti-lo                     prendre un autre stylo parc(e)
24864autre là                      ot la                         a un autre là bas
24883prendre le                    pR@d l2                       pas l(e) prendre le noir
24892peut-être que                 p2-tEt k2                     c' est peut-être que la
24894autre pâte                    ot pat                        avec l' autre pâte .
24897mettre celle                  mEt sEl                       on va mettre celle là
24981être tout                     Et tu                         ça va être tout collant par
25002mettre ça                     mEt sa                        vas mettre ça à la poubelle
25141livre si                      liv si                        r(e)garder l(e) livre si tu
25579arbre soit                    aRb swa                       soit un arbre soit un
25696mettre l'                     mEt l                         on va mettre l' arbre là
25696arbre là                      aRb la                        mettre l' arbre là bas
25707mettre là                     mEt la                        va l(e) mettre là avec
25733arbre nous                    aRb nu                        a un arbre nous ?
26012propre c(el)ui                pROp s8i                      vraiment pas propre c(el)ui là
26089mettre sur                    mEt syR                       faut t(e) mettre sur un
26430entre les                     @t le                         entre les deux .
26603rentrent c(el)ui              R@t s8i                       qu' i(ls) rentrent c(el)ui là
26605puzzle de                     p9z d2                        fait c(e) puzzle de Mickey
26665meuble derrière               m9b dE-RjER                   sur le meuble derrière euh derrière
26684puzzle de                     p9z d2                        faire c(e) puzzle de Mickey
26688gonfles toi                   g§f twa                       tu m(e) gonfles toi .
26775angle là                      @g la                         faut un angle là .
26778angle là                      @g la                         met l' angle là .
26811perdre déjà                   pERd de-Za                    à en perdre déjà d(e)
26833autre sens                    ot s@s                        dans l' autre sens .
26863peut-être ça                  p2-tEt sa                     ou peut-être ça c' est du
26930ensemble ces                  @-s@b se                      i(ls) vont ensemble ces deux
26941lèvres sur                    lEv syR                       rouge à lèvres sur sa
27178entre les                     @t le                         et entre les deux .
27179entre les                     @t le                         milieu , entre les deux
27288peut-être derrière            p2-tEt dE-RjER                peut-être derrière toi là bas .
27312prendre des                   pR@d de                       fait pour prendre des photos
27456montre moi                    m§t mwa                       montre moi !
27475prendre c'                    pR@d s'                       il fallait prendre c' est
27565autre main                    ot m5                         l' autre main .
27660être dans                     Et d@                         peut pas être dans ta
27679rentre par                    R@t paR                       on rentre par la barrière .
27714table ça                      tab sa                        manger à table ça .
27970coffre là                     kOf la                        derrière le coffre là bas .
28004souffle dans                  suf d@                        qu(e) ça souffle dans l(e)
28204montre moi                    m§t mwa                       bah montre moi ton bobo d'
28253ensemble chercher             @-s@b SER-Se                  allait tous ensemble chercher quelque
28253notre fête                    nOt fEt                       grignoter pour notre fête .
28400mettre celui                  mEt sl8i                      faut # mettre celui là
28445mettre là                     mEt la                        i(l) faudra mettre là ,
28546livre de                      liv d2                        dans le livre de Chloé
28589comble de                     k§b d2                        et le comble de l' injustice
28808livre là                      liv la                        un petit livre là bas
28915être par                      Et paR                        peut # être par ici
29061ouvres la                     uv la                         t(u) ouvres la porte du four
29064être de                       Et d2                         euh devrait être de l'
29064autre côté                    ot ko-te                      de l' autre côté ,
29082mordre par                    mORd paR                      mordre , mordre par un
29303autre côté                    ot ko-te                      d(e) l' autre côté .
29304autre côté                    ot ko-te                      de l' autre côté .
